"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"pmgc","10K+","November 2, 2025 at 6:10:00 PM UTC+5:30",,"pmgc,bmic,pmgc 2025,bmic 2025,bmic points table","https://trends.google.com/trends/explore?q=pmgc&geo=IN&hl=en-US"
"melbourne cup field 2025 justhorseracing.com.au","1K+","November 2, 2025 at 11:40:00 PM UTC+5:30",,"melbourne cup field 2025 justhorseracing.com.au,melbourne cup 2025 odds justhorseracing.com.au,melbourne cup 2025 justhorseracing.com.au,melbourne cup 2025 horses justhorseracing.com.au","https://trends.google.com/trends/explore?q=melbourne%20cup%20field%202025%20justhorseracing.com.au&geo=IN&hl=en-US"
"divya deshmukh chess world cup","10K+","November 2, 2025 at 6:00:00 AM UTC+5:30","November 2, 2025 at 10:40:00 PM UTC+5:30","divya deshmukh chess world cup","https://trends.google.com/trends/explore?q=divya%20deshmukh%20chess%20world%20cup&geo=IN&hl=en-US"
"kerala lottery results","2K+","November 2, 2025 at 11:20:00 PM UTC+5:30","November 3, 2025 at 12:20:00 AM UTC+5:30","kerala lottery results,sm27 lottery result today,kerala lottery result today 2025","https://trends.google.com/trends/explore?q=kerala%20lottery%20results&geo=IN&hl=en-US"
"garena free fire max redeem codes","5K+","November 2, 2025 at 4:10:00 AM UTC+5:30","November 2, 2025 at 10:40:00 PM UTC+5:30","garena free fire max redeem codes,freefire","https://trends.google.com/trends/explore?q=garena%20free%20fire%20max%20redeem%20codes&geo=IN&hl=en-US"
"bet365","2K+","November 2, 2025 at 2:10:00 PM UTC+5:30","November 2, 2025 at 5:50:00 PM UTC+5:30","bet365,bet 365","https://trends.google.com/trends/explore?q=bet365&geo=IN&hl=en-US"
"epic games","500+","November 2, 2025 at 2:50:00 AM UTC+5:30","November 2, 2025 at 6:00:00 AM UTC+5:30","epic games","https://trends.google.com/trends/explore?q=epic%20games&geo=IN&hl=en-US"
"gta 6","100+","November 2, 2025 at 6:30:00 AM UTC+5:30","November 2, 2025 at 7:40:00 AM UTC+5:30","gta 6","https://trends.google.com/trends/explore?q=gta%206&geo=IN&hl=en-US"
