"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"isro satellite launch","20K+","November 2, 2025 at 10:40:00 PM UTC+5:30",,"isro satellite launch,isro,isro cms 03 satellite launch,isro launches heaviest satellite,dawn,isro launch,cms 03,isro launch today,sriharikota,lvm3,rocket launch today","https://trends.google.com/trends/explore?q=isro%20satellite%20launch&geo=IN&hl=en-US"
"moon","200+","November 2, 2025 at 8:00:00 PM UTC+5:30","November 2, 2025 at 9:10:00 PM UTC+5:30","moon","https://trends.google.com/trends/explore?q=moon&geo=IN&hl=en-US"
"interstellar comet 3i atlas nasa","1K+","November 2, 2025 at 6:30:00 AM UTC+5:30","November 2, 2025 at 8:40:00 AM UTC+5:30","interstellar comet 3i atlas nasa,interstellar,3i atlas latest news","https://trends.google.com/trends/explore?q=interstellar%20comet%203i%20atlas%20nasa&geo=IN&hl=en-US"
