"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"queens","200+","November 3, 2025 at 12:20:00 AM UTC+5:30","November 3, 2025 at 1:20:00 AM UTC+5:30","queens","https://trends.google.com/trends/explore?q=queens&geo=IN&hl=en-US"
"taj mahal","100+","November 2, 2025 at 2:20:00 AM UTC+5:30","November 2, 2025 at 3:30:00 AM UTC+5:30","taj mahal","https://trends.google.com/trends/explore?q=taj%20mahal&geo=IN&hl=en-US"
